table,address_zero_based,name,access,encoding,origin
coil,0,power,RW,0=off;1=on,YCJ-A002
coil,1,quiet,RW,0=off;1=on,extension
coil,2,display,RW,0=off;1=on,extension
holding,0,setpoint,RW,16..30 Celsius integer,YCJ-A002
holding,1,mode,RW,1=cool;2=heat;3=dry;4=fan;5=auto,YCJ-A002
holding,2,fan,RW,1=low;2=medium;3=high;4=auto,YCJ-A002
holding,3,control_lock,RW,1/2/3=unlock (read1);4=lock,YCJ-A002
holding,4,swing,RW,0=off/center;1=vertical;2=horizontal;3=both,extension
holding,5,preset,RW,0=none;1=boost;2=sleep,extension
holding,6,vertical_position,RW,write1=health_up;2=max_up;3=health_down;4=up;6=center;8=down;read12/14=auto;10=max_down,extension
holding,7,horizontal_position,RW,write0=center;3=max_left;4=left;5=right;6=max_right;read7=auto,extension
input,0,room_temperature,R,Celsius integer;floor half-degree,YCJ-A002
input,1,fault_code,R,0=none;native hOn error_status for nonzero;YCJ equivalence unverified,YCJ-A002
input,2,machine_number,R,always0,YCJ-A002
input,3,room_temperature_x10,R,Celsius x10,extension
input,4,status_age_seconds,R,0..65535;saturates;65535=never received,extension
input,5,status_count_low,R,low16bits,extension
input,6,status_count_high,R,high16bits,extension
input,7,command_status,R,0=idle;1=pending;2=confirmed;3=timeout,extension
input,8,link_flags,R,bit0=fresh_hOn;bit1=RTU_enabled;bit2=TCP_enabled,extension
